
id,name,city,country,iata,icao,lat,lon,alt,timezone,dst,tz
481,"St Mawgan","Newquai","United Kingdom","NQY","EGDG",50.440558,-4.995408,390,0,"E","Europe/London"
482,"Lyneham","Lyneham","United Kingdom","LYE","EGDL",51.505144,-1.993428,513,0,"E","Europe/London"
483,"Boscombe Down","Boscombe Down","United Kingdom","","EGDM",51.152189,-1.747414,407,0,"E","Europe/London"
484,"Culdrose","Culdrose","United Kingdom","","EGDR",50.086092,-5.255711,267,0,"E","Europe/London"
485,"St Athan","St. Athan","United Kingdom","","EGDX",51.404811,-3.43575,163,0,"E","Europe/London"
486,"Yeovilton","Yeovilton","United Kingdom","YEO","EGDY",51.009358,-2.638819,75,0,"E","Europe/London"
487,"Haverfordwest","Haverfordwest","United Kingdom","","EGFE",51.833056,-4.961111,159,0,"E","Europe/London"
488,"Cardiff","Cardiff","United Kingdom","CWL","EGFF",51.396667,-3.343333,220,0,"E","Europe/London"
489,"Swansea","Swansea","United Kingdom","SWS","EGFH",51.605333,-4.067833,299,0,"E","Europe/London"
490,"Bristol","Bristol","United Kingdom","BRS","EGGD",51.382669,-2.719089,622,0,"E","Europe/London"
491,"Liverpool","Liverpool","United Kingdom","LPL","EGGP",53.333611,-2.849722,80,0,"E","Europe/London"
492,"Luton","London","United Kingdom","LTN","EGGW",51.874722,-0.368333,526,0,"E","Europe/London"
493,"Plymouth","Plymouth","United Kingdom","PLH","EGHD",50.422778,-4.105833,476,0,"E","Europe/London"
494,"Bournemouth","Bournemouth","United Kingdom","BOH","EGHH",50.78,-1.8425,38,0,"E","Europe/London"
495,"Southampton","Southampton","United Kingdom","SOU","EGHI",50.950261,-1.356803,44,0,"E","Europe/London"
496,"Lasham","Lasham","United Kingdom","QLA","EGHL",51.187167,-1.0335,618,0,"E","Europe/London"
497,"Alderney","Alderney","Guernsey","ACI","EGJA",49.706111,-2.214722,290,0,"E","Europe/Guernsey"
498,"Guernsey","Guernsey","Guernsey","GCI","EGJB",49.434956,-2.601969,336,0,"E","Europe/Guernsey"
499,"Jersey","Jersey","Jersey","JER","EGJJ",49.207947,-2.195508,277,0,"E","Europe/Jersey"
500,"Shoreham","Shoreham By Sea","United Kingdom","ESH","EGKA",50.835556,-0.297222,7,0,"E","Europe/London"
501,"Biggin Hill","Biggin Hill","United Kingdom","BQH","EGKB",51.330833,0.0325,598,0,"E","Europe/London"
502,"Gatwick","London","United Kingdom","LGW","EGKK",51.148056,-0.190278,202,0,"E","Europe/London"
503,"City","London","United Kingdom","LCY","EGLC",51.505278,0.055278,19,0,"E","Europe/London"
504,"Farnborough","Farnborough","United Kingdom","FAB","EGLF",51.275833,-0.776333,238,0,"E","Europe/London"
505,"Chalgrove","Chalsgrove","United Kingdom","","EGLJ",51.676111,-1.080833,240,0,"E","Europe/London"
506,"Blackbushe","Blackbushe","United Kingdom","BBS","EGLK",51.323889,-0.8475,325,0,"E","Europe/London"
507,"Heathrow","London","United Kingdom","LHR","EGLL",51.4775,-0.461389,83,0,"E","Europe/London"
508,"Southend","Southend","United Kingdom","SEN","EGMC",51.571389,0.695556,49,0,"E","Europe/London"
509,"Lydd","Lydd","United Kingdom","LYX","EGMD",50.956111,0.939167,13,0,"E","Europe/London"
510,"Manston","Manston","United Kingdom","MSE","EGMH",51.342222,1.346111,178,0,"E","Europe/London"
511,"Brough","Brough","United Kingdom","","EGNB",53.719667,-0.566333,12,0,"E","Europe/London"
512,"Carlisle","Carlisle","United Kingdom","CAX","EGNC",54.9375,-2.809167,190,0,"E","Europe/London"
513,"Gamston","Repton","United Kingdom","","EGNE",53.280556,-0.951389,91,0,"E","Europe/London"
514,"Blackpool","Blackpool","United Kingdom","BLK","EGNH",53.771667,-3.028611,34,0,"E","Europe/London"
515,"Humberside","Humberside","United Kingdom","HUY","EGNJ",53.574444,-0.350833,121,0,"E","Europe/London"
516,"Walney Island","Barrow Island","United Kingdom","BWF","EGNL",54.131167,-3.263667,173,0,"E","Europe/London"
517,"Leeds Bradford","Leeds","United Kingdom","LBA","EGNM",53.865897,-1.660569,681,0,"E","Europe/London"
518,"Warton","Warton","United Kingdom","","EGNO",53.745097,-2.883061,55,0,"E","Europe/London"
519,"Hawarden","Hawarden","United Kingdom","CEG","EGNR",53.178056,-2.977778,45,0,"E","Europe/London"
520,"Isle Of Man","Isle Of Man","Isle of Man","IOM","EGNS",54.083333,-4.623889,52,0,"E","Europe/Isle_of_Man"
521,"Newcastle","Newcastle","United Kingdom","NCL","EGNT",55.0375,-1.691667,266,0,"E","Europe/London"
522,"Durham Tees Valley Airport","Teesside","United Kingdom","MME","EGNV",54.509189,-1.429406,120,0,"E","Europe/London"
523,"Nottingham East Midlands","East Midlands","United Kingdom","EMA","EGNX",52.831111,-1.328056,306,0,"E","Europe/London"
524,"Llanbedr","Llanbedr","United Kingdom","","EGOD",52.811744,-4.123575,30,0,"E","Europe/London"
525,"Ternhill","Ternhill","United Kingdom","","EGOE",52.871164,-2.533561,272,0,"E","Europe/London"
526,"Shawbury","Shawbury","United Kingdom","","EGOS",52.798169,-2.668042,249,0,"E","Europe/London"
528,"Woodvale","Woodvale","United Kingdom","","EGOW",53.581575,-3.055522,37,0,"E","Europe/London"
529,"Kirkwall","Kirkwall","United Kingdom","KOI","EGPA",58.957778,-2.905,50,0,"E","Europe/London"
530,"Sumburgh","Sumburgh","United Kingdom","LSI","EGPB",59.878889,-1.295556,20,0,"E","Europe/London"
531,"Wick","Wick","United Kingdom","WIC","EGPC",58.458889,-3.093056,126,0,"E","Europe/London"
532,"Dyce","Aberdeen","United Kingdom","ABZ","EGPD",57.201944,-2.197778,215,0,"E","Europe/London"
533,"Inverness","Inverness","United Kingdom","INV","EGPE",57.5425,-4.0475,31,0,"E","Europe/London"
534,"Glasgow","Glasgow","United Kingdom","GLA","EGPF",55.871944,-4.433056,26,0,"E","Europe/London"
535,"Edinburgh","Edinburgh","United Kingdom","EDI","EGPH",55.95,-3.3725,135,0,"E","Europe/London"
536,"Islay","Islay","United Kingdom","ILY","EGPI",55.681944,-6.256667,56,0,"E","Europe/London"
537,"Prestwick","Prestwick","United Kingdom","PIK","EGPK",55.509444,-4.586667,65,0,"E","Europe/London"
538,"Benbecula","Benbecula","United Kingdom","BEB","EGPL",57.481111,-7.362778,19,0,"E","Europe/London"
539,"Scatsta","Scatsta","United Kingdom","SDZ","EGPM",60.432778,-1.296111,81,0,"E","Europe/London"
540,"Dundee","Dundee","United Kingdom","DND","EGPN",56.452499,-3.025833,17,0,"E","Europe/London"
541,"Stornoway","Stornoway","United Kingdom","SYY","EGPO",58.215556,-6.331111,26,0,"E","Europe/London"
542,"Tiree","Tiree","United Kingdom","TRE","EGPU",56.499167,-6.869167,38,0,"E","Europe/London"
543,"Leuchars","Leuchars","United Kingdom","ADX","EGQL",56.372889,-2.868444,38,0,"E","Europe/London"
544,"Lossiemouth","Lossiemouth","United Kingdom","LMO","EGQS",57.705214,-3.339169,42,0,"E","Europe/London"
545,"Cambridge","Cambridge","United Kingdom","CBG","EGSC",52.205,0.175,47,0,"E","Europe/London"
546,"Conington","Peterborough","United Kingdom","","EGSF",52.468056,-0.251111,26,0,"E","Europe/London"
547,"Norwich","Norwich","United Kingdom","NWI","EGSH",52.675833,1.282778,117,0,"E","Europe/London"
548,"Stansted","London","United Kingdom","STN","EGSS",51.885,0.235,348,0,"E","Europe/London"
549,"North Weald","North Weald","United Kingdom","","EGSX",51.721667,0.154167,321,0,"E","Europe/London"
550,"Sheffield City","Fowlmere","United Kingdom","","EGSY",53.394256,-1.388486,231,0,"E","Europe/London"
551,"Cranfield","Cranfield","United Kingdom","","EGTC",52.072222,-0.616667,358,0,"E","Europe/London"
552,"Exeter","Exeter","United Kingdom","EXT","EGTE",50.734444,-3.413889,102,0,"E","Europe/London"
553,"Bristol Filton","Bristol","United Kingdom","FZO","EGTG",51.519444,-2.590833,226,0,"E","Europe/London"
554,"Kidlington","Oxford","United Kingdom","OXF","EGTK",51.836944,-1.32,270,0,"E","Europe/London"
555,"Benson","Benson","United Kingdom","","EGUB",51.616389,-1.095833,226,0,"E","Europe/London"
556,"Lakenheath","Lakenheath","United Kingdom","","EGUL",52.409333,0.561,32,0,"E","Europe/London"
557,"Mildenhall","Mildenhall","United Kingdom","MHZ","EGUN",52.361933,0.486406,33,0,"E","Europe/London"
558,"Wattisham","Wattisham","United Kingdom","","EGUW",52.127283,0.956264,284,0,"E","Europe/London"
559,"Wyton","Wyton","United Kingdom","","EGUY",52.357167,-0.107833,135,0,"E","Europe/London"
560,"Fairford","Fairford","United Kingdom","FFD","EGVA",51.682167,-1.790028,286,0,"E","Europe/London"
561,"Brize Norton","Brize Norton","United Kingdom","BZZ","EGVN",51.749964,-1.583617,288,0,"E","Europe/London"
562,"Odiham","Odiham","United Kingdom","ODH","EGVO",51.234139,-0.942825,405,0,"E","Europe/London"
563,"Cosford","Cosford","United Kingdom","","EGWC",52.640028,-2.305578,272,0,"E","Europe/London"
564,"Northolt","Northolt","United Kingdom","NHT","EGWU",51.553,-0.418167,124,0,"E","Europe/London"
565,"Coningsby","Coningsby","United Kingdom","QCY","EGXC",53.093014,-0.166014,25,0,"E","Europe/London"
566,"Dishforth","Dishforth","United Kingdom","","EGXD",54.137186,-1.420253,117,0,"E","Europe/London"
567,"Leeming","Leeming","United Kingdom","","EGXE",54.292383,-1.5354,132,0,"E","Europe/London"
568,"Church Fenton","Church Fenton","United Kingdom","","EGXG",53.834333,-1.1955,29,0,"E","Europe/London"
569,"Honington","Honington","United Kingdom","BEQ","EGXH",52.342611,0.772939,174,0,"E","Europe/London"
570,"Cottesmore","Cottesmore","United Kingdom","","EGXJ",52.735711,-0.648769,461,0,"E","Europe/London"
571,"Scampton","Scampton","United Kingdom","","EGXP",53.307778,-0.550833,202,0,"E","Europe/London"
572,"Wittering","Wittering","United Kingdom","","EGXT",52.612558,-0.476453,273,0,"E","Europe/London"
573,"Linton On Ouse","Linton-on-ouse","United Kingdom","","EGXU",54.048911,-1.252747,53,0,"E","Europe/London"
574,"Waddington","Waddington","United Kingdom","WTN","EGXW",53.166167,-0.523811,231,0,"E","Europe/London"
575,"Topcliffe","Topcliffe","United Kingdom","","EGXZ",54.205522,-1.382094,92,0,"E","Europe/London"
576,"Cranwell","Cranwell","United Kingdom","","EGYD",53.03035,-0.483242,218,0,"E","Europe/London"
577,"Barkston Heath","Barkston Heath","United Kingdom","","EGYE",52.962225,-0.561625,367,0,"E","Europe/London"
578,"Marham","Marham","United Kingdom","KNF","EGYM",52.648353,0.550692,75,0,"E","Europe/London"
579,"Mount Pleasant","Mount Pleasant","Falkland Islands","MPN","EGYP",-51.822777,-58.447222,244,-3,"U","Atlantic/Stanley"
580,"Schiphol","Amsterdam","Netherlands","AMS","EHAM",52.308613,4.763889,-11,1,"E","Europe/Amsterdam"
581,"Budel","Weert","Netherlands","","EHBD",51.25528,5.601389,114,1,"E","Europe/Amsterdam"
582,"Maastricht","Maastricht","Netherlands","MST","EHBK",50.911658,5.770144,375,1,"E","Europe/Amsterdam"
583,"Deelen","Deelen","Netherlands","","EHDL",52.060556,5.873056,158,1,"E","Europe/Amsterdam"
584,"Drachten","Drachten","Netherlands","","EHDR",53.119167,6.129722,14,1,"E","Europe/Amsterdam"
585,"Eindhoven","Eindhoven","Netherlands","EIN","EHEH",51.450139,5.374528,74,1,"E","Europe/Amsterdam"
586,"Eelde","Groningen","Netherlands","GRQ","EHGG",53.11972,6.579444,17,1,"E","Europe/Amsterdam"
587,"Gilze Rijen","Gilze-rijen","Netherlands","","EHGR",51.567389,4.931833,49,1,"E","Europe/Amsterdam"
588,"De Kooy","De Kooy","Netherlands","DHR","EHKD",52.923353,4.780625,3,1,"E","Europe/Amsterdam"
589,"Lelystad","Lelystad","Netherlands","","EHLE",52.460278,5.527222,-13,1,"E","Europe/Amsterdam"
590,"Leeuwarden","Leeuwarden","Netherlands","LWR","EHLW",53.228611,5.760556,3,1,"E","Europe/Amsterdam"
591,"Rotterdam","Rotterdam","Netherlands","RTM","EHRD",51.956944,4.437222,-15,1,"E","Europe/Amsterdam"
592,"Soesterberg","Soesterberg","Netherlands","UTC","EHSB",52.1273,5.27619,66,1,"E","Europe/Amsterdam"
593,"Twenthe","Enschede","Netherlands","ENS","EHTW",52.27,6.874167,114,1,"E","Europe/Amsterdam"
594,"Valkenburg","Valkenburg","Netherlands","LID","EHVB",52.166139,4.417944,0,1,"E","Europe/Amsterdam"
595,"Woensdrecht","Woensdrecht","Netherlands","WOE","EHWO",51.449092,4.342031,63,1,"E","Europe/Amsterdam"
596,"Cork","Cork","Ireland","ORK","EICK",51.841269,-8.491111,502,0,"E","Europe/Dublin"
597,"Galway","Galway","Ireland","GWY","EICM",53.300175,-8.941592,81,0,"E","Europe/Dublin"
599,"Dublin","Dublin","Ireland","DUB","EIDW",53.421333,-6.270075,242,0,"E","Europe/Dublin"
600,"Ireland West Knock","Connaught","Ireland","NOC","EIKN",53.910297,-8.818492,665,0,"E","Europe/Dublin"
601,"Kerry","Kerry","Ireland","KIR","EIKY",52.180878,-9.523783,112,0,"E","Europe/Dublin"
602,"Casement","Casement","Ireland","","EIME",53.301667,-6.451333,319,0,"E","Europe/Dublin"
603,"Shannon","Shannon","Ireland","SNN","EINN",52.701978,-8.924817,46,0,"E","Europe/Dublin"
604,"Sligo","Sligo","Ireland","SXL","EISG",54.280214,-8.599206,11,0,"E","Europe/Dublin"
605,"Waterford","Waterford","Ireland","WAT","EIWF",52.1872,-7.086964,119,0,"E","Europe/Dublin"
607,"Aarhus","Aarhus","Denmark","AAR","EKAH",56.300017,10.619008,82,1,"E","Europe/Copenhagen"
608,"Billund","Billund","Denmark","BLL","EKBI",55.740322,9.151778,247,1,"E","Europe/Copenhagen"
609,"Kastrup","Copenhagen","Denmark","CPH","EKCH",55.617917,12.655972,17,1,"E","Europe/Copenhagen"
610,"Esbjerg","Esbjerg","Denmark","EBJ","EKEB",55.525942,8.553403,97,1,"E","Europe/Copenhagen"
611,"Gronholt Hillerod","Gronholt","Denmark","","EKGH",55.941387,12.382222,97,1,"E","Europe/Copenhagen"
612,"Karup","Karup","Denmark","KRP","EKKA",56.297458,9.124628,170,1,"E","Europe/Copenhagen"
613,"Laeso","Laeso","Denmark","","EKLS",57.277228,11.000083,25,1,"E","Europe/Copenhagen"
614,"Lolland Falster Maribo","Maribo","Denmark","","EKMB",54.699344,11.440117,16,1,"E","Europe/Copenhagen"
615,"Odense","Odense","Denmark","ODE","EKOD",55.476664,10.330933,56,1,"E","Europe/Copenhagen"
616,"Krusa Padborg","Krusa-padborg","Denmark","","EKPB",54.870306,9.279014,88,1,"E","Europe/Copenhagen"
617,"Roskilde","Copenhagen","Denmark","RKE","EKRK",55.585567,12.131428,146,1,"E","Europe/Copenhagen"
618,"Bornholm Ronne","Ronne","Denmark","RNN","EKRN",55.063267,14.759558,52,1,"E","Europe/Copenhagen"
619,"Sonderborg","Soenderborg","Denmark","SGD","EKSB",54.964367,9.791731,24,1,"E","Europe/Copenhagen"
621,"Skrydstrup","Skrydstrup","Denmark","SKS","EKSP",55.225553,9.263931,141,1,"E","Europe/Copenhagen"
622,"Skive","Skive","Denmark","","EKSV",56.550208,9.172983,74,1,"E","Europe/Copenhagen"
623,"Thisted","Thisted","Denmark","TED","EKTS",57.0688,8.705225,23,1,"E","Europe/Copenhagen"
624,"Kolding Vamdrup","Kolding","Denmark","","EKVD",55.436283,9.330925,143,1,"E","Europe/Copenhagen"
625,"Vagar","Vagar","Faroe Islands","FAE","EKVG",62.063628,-7.277219,280,0,"E","Atlantic/Faeroe"
626,"Aars","Vesthimmerland","Denmark","","EKVH",56.846944,9.458611,119,1,"E","Europe/Copenhagen"
627,"Stauning","Stauning","Denmark","STA","EKVJ",55.990122,8.353906,17,1,"E","Europe/Copenhagen"
628,"Aalborg","Aalborg","Denmark","AAL","EKYT",57.092789,9.849164,10,1,"E","Europe/Copenhagen"
629,"Luxembourg","Luxemburg","Luxembourg","LUX","ELLX",49.626575,6.211517,1234,1,"E","Europe/Luxembourg"
630,"Vigra","Alesund","Norway","AES","ENAL",62.560372,6.110164,69,1,"E","Europe/Oslo"
631,"Andenes","Andoya","Norway","ANX","ENAN",69.2925,16.144167,43,1,"E","Europe/Oslo"
632,"Alta","Alta","Norway","ALF","ENAT",69.976111,23.371667,9,1,"E","Europe/Oslo"
633,"Bomoen","Voss","Norway","","ENBM",60.63885,6.501497,300,1,"E","Europe/Oslo"
634,"Bronnoy","Bronnoysund","Norway","BNN","ENBN",65.461111,12.2175,25,1,"E","Europe/Oslo"
635,"Bodo","Bodo","Norway","BOO","ENBO",67.269167,14.365278,42,1,"E","Europe/Oslo"
636,"Flesland","Bergen","Norway","BGO","ENBR",60.293386,5.218142,170,1,"E","Europe/Oslo"
637,"Batsfjord","Batsfjord","Norway","BJF","ENBS",70.600278,29.6925,490,1,"E","Europe/Oslo"
638,"Kjevik","Kristiansand","Norway","KRS","ENCN",58.204214,8.085369,57,1,"E","Europe/Oslo"
639,"Dagali","Geilo","Norway","","ENDI",60.416667,8.512778,2618,1,"E","Europe/Oslo"
640,"Bardufoss","Bardufoss","Norway","BDU","ENDU",69.055758,18.540356,252,1,"E","Europe/Oslo"
641,"Evenes","Harstad/Narvik","Norway","EVE","ENEV",68.4913,16.678108,84,1,"E","Europe/Oslo"
642,"Leirin","Fagernes","Norway","VDB","ENFG",61.015556,9.288056,2697,1,"E","Europe/Oslo"
643,"Floro","Floro","Norway","FRO","ENFL",61.583611,5.024722,37,1,"E","Europe/Oslo"
644,"Gardermoen","Oslo","Norway","OSL","ENGM",60.193917,11.100361,681,1,"E","Europe/Oslo"
645,"Karmoy","Haugesund","Norway","HAU","ENHD",59.345267,5.208364,86,1,"E","Europe/Oslo"
646,"Hasvik","Hasvik","Norway","HAA","ENHK",70.486675,22.139744,21,1,"E","Europe/Oslo"
647,"Kvernberget","Kristiansund","Norway","KSU","ENKB",63.111781,7.824522,204,1,"E","Europe/Oslo"
648,"Kjeller","Kjeller","Norway","","ENKJ",59.969336,11.036089,354,1,"E","Europe/Oslo"
649,"Hoybuktmoen","Kirkenes","Norway","KKN","ENKR",69.725781,29.891295,283,1,"E","Europe/Oslo"
650,"Lista","Farsund","Norway","FAN","ENLI",58.099486,6.62605,29,1,"E","Europe/Oslo"
651,"Aro","Molde","Norway","MOL","ENML",62.744722,7.2625,10,1,"E","Europe/Oslo"
652,"Kjaerstad","Mosjoen","Norway","MJF","ENMS",65.783997,13.214914,237,1,"E","Europe/Oslo"
653,"Banak","Lakselv","Norway","LKL","ENNA",70.068814,24.973489,25,1,"E","Europe/Oslo"
654,"Notodden","Notodden","Norway","NTB","ENNO",59.565683,9.212222,63,1,"E","Europe/Oslo"
655,"Orland","Orland","Norway","OLA","ENOL",63.698908,9.604003,28,1,"E","Europe/Oslo"
656,"Roros","Roros","Norway","RRS","ENRO",62.578411,11.342347,2054,1,"E","Europe/Oslo"
657,"Moss","Rygge","Norway","RYG","ENRY",59.378933,10.785389,174,1,"E","Europe/Oslo"
658,"Longyear","Svalbard","Norway","LYR","ENSB",78.246111,15.465556,88,1,"E","Arctic/Longyearbyen"
659,"Geiteryggen","Skien","Norway","SKE","ENSN",59.185,9.566944,463,1,"E","Europe/Oslo"
660,"Sorstokken","Stord","Norway","SRP","ENSO",59.791925,5.34085,160,1,"E","Europe/Oslo"
662,"Stokka","Sandnessjoen","Norway","SSJ","ENST",65.956828,12.468944,56,1,"E","Europe/Oslo"
663,"Langnes","Tromso","Norway","TOS","ENTC",69.683333,18.918919,31,1,"E","Europe/Oslo"
664,"Torp","Sandefjord","Norway","TRF","ENTO",59.186703,10.258628,286,1,"E","Europe/Oslo"
665,"Vaernes","Trondheim","Norway","TRD","ENVA",63.457556,10.92425,56,1,"E","Europe/Oslo"
666,"Sola","Stavanger","Norway","SVG","ENZV",58.876778,5.637856,29,1,"E","Europe/Oslo"
667,"Babice","Warsaw","Poland","","EPBC",52.268494,20.911047,352,1,"E","Europe/Warsaw"
668,"Lech Walesa","Gdansk","Poland","GDN","EPGD",54.377569,18.466222,489,1,"E","Europe/Warsaw"
669,"Balice","Krakow","Poland","KRK","EPKK",50.077731,19.784836,791,1,"E","Europe/Warsaw"
670,"Muchowiec","Katowice","Poland","","EPKM",50.238147,19.034181,909,1,"E","Europe/Warsaw"
671,"Pyrzowice","Katowice","Poland","KTW","EPKT",50.474253,19.080019,995,1,"E","Europe/Warsaw"
673,"Mielec","Mielec","Poland","","EPML",50.322275,21.462131,548,1,"E","Europe/Warsaw"
674,"Lawica","Poznan","Poland","POZ","EPPO",52.421031,16.826325,308,1,"E","Europe/Warsaw"
675,"Jasionka","Rzeszow","Poland","RZE","EPRZ",50.109958,22.019,675,1,"E","Europe/Warsaw"
676,"Goleniow","Szczecin","Poland","SZZ","EPSC",53.584731,14.902206,154,1,"E","Europe/Warsaw"
677,"Redzikowo","Slupsk","Poland","OSP","EPSK",54.478889,17.1075,217,1,"E","Europe/Warsaw"
678,"Swidwin","Shapaja","Poland","","EPSN",53.790639,15.82625,385,1,"E","Europe/Warsaw"
679,"Okecie","Warsaw","Poland","WAW","EPWA",52.16575,20.967122,362,1,"E","Europe/Warsaw"
680,"Strachowice","Wroclaw","Poland","WRO","EPWR",51.102683,16.885836,404,1,"E","Europe/Warsaw"
681,"Babimost","Zielona Gora","Poland","IEG","EPZG",52.138517,15.798556,194,1,"E","Europe/Warsaw"
682,"Malmen","Linkoeping","Sweden","","ESCF",58.402278,15.525683,308,1,"E","Europe/Stockholm"
683,"Bravalla","Norrkoeping","Sweden","","ESCK",58.610867,16.103592,90,1,"E","Europe/Stockholm"
684,"Uppsala","Uppsala","Sweden","","ESCM",59.897328,17.588581,68,1,"E","Europe/Stockholm"
685,"Ronneby","Ronneby","Sweden","RNB","ESDF",56.266667,15.265,191,1,"E","Europe/Stockholm"
686,"Rada","Rada","Sweden","","ESFR",58.498136,13.053231,230,1,"E","Europe/Stockholm"
687,"Landvetter","Gothenborg","Sweden","GOT","ESGG",57.662836,12.279819,506,1,"E","Europe/Stockholm"
688,"Jonkoping","Joenkoeping","Sweden","JKG","ESGJ",57.757594,14.068731,741,1,"E","Europe/Stockholm"
689,"Falkoping","Falkoping","Sweden","","ESGK",58.169794,13.587847,785,1,"E","Europe/Stockholm"
690,"Lidkoping","Lidkoping","Sweden","LDK","ESGL",58.465522,13.174414,200,1,"E","Europe/Stockholm"
691,"Save","Gothenborg","Sweden","GSE","ESGP",57.774722,11.870372,59,1,"E","Europe/Stockholm"
692,"Skovde","Skovde","Sweden","KVB","ESGR",58.4564,13.972672,324,1,"E","Europe/Stockholm"
693,"Trollhattan Vanersborg","Trollhattan","Sweden","THN","ESGT",58.318056,12.345,137,1,"E","Europe/Stockholm"
694,"Karlsborg","Karlsborg","Sweden","","ESIA",58.513842,14.507119,308,1,"E","Europe/Stockholm"
695,"Satenas","Satenas","Sweden","","ESIB",58.426445,12.714389,181,1,"E","Europe/Stockholm"
696,"Barkarby","Stockholm","Sweden","","ESKB",59.418694,17.890694,50,1,"E","Europe/Stockholm"
697,"Karlskoga","Karlskoga","Sweden","KSK","ESKK",59.345867,14.495922,400,1,"E","Europe/Stockholm"
698,"Mora","Mora","Sweden","MXX","ESKM",60.957908,14.511383,634,1,"E","Europe/Stockholm"
699,"Skavsta","Stockholm","Sweden","NYO","ESKN",58.788636,16.912189,140,1,"E","Europe/Stockholm"
700,"Arvika","Arvika","Sweden","","ESKV",59.675856,12.639442,237,1,"E","Europe/Stockholm"
701,"Emmaboda","Emmaboda","Sweden","","ESMA",56.610761,15.604761,442,1,"E","Europe/Stockholm"
702,"Feringe","Ljungby","Sweden","","ESMG",56.950278,13.921667,538,1,"E","Europe/Stockholm"
703,"Kristianstad","Kristianstad","Sweden","KID","ESMK",55.921686,14.085536,76,1,"E","Europe/Stockholm"
704,"Landskrona","Landskrona","Sweden","JLD","ESML",55.944444,12.869444,194,1,"E","Europe/Stockholm"
705,"Oskarshamn","Oskarshamn","Sweden","OSK","ESMO",57.350453,16.497972,96,1,"E","Europe/Stockholm"
706,"Anderstorp","Anderstorp","Sweden","","ESMP",57.264167,13.599439,507,1,"E","Europe/Stockholm"
707,"Kalmar","Kalkmar","Sweden","KLR","ESMQ",56.685531,16.287578,17,1,"E","Europe/Stockholm"
708,"Sturup","Malmoe","Sweden","MMX","ESMS",55.530193,13.371639,236,1,"E","Europe/Stockholm"
709,"Halmstad","Halmstad","Sweden","HAD","ESMT",56.691128,12.820211,101,1,"E","Europe/Stockholm"
710,"Hagshult","Hagshult","Sweden","","ESMV",57.292222,14.137222,556,1,"E","Europe/Stockholm"
711,"Kronoberg","Vaxjo","Sweden","VXO","ESMX",56.929144,14.727994,610,1,"E","Europe/Stockholm"
712,"Hallviken","Hallviken","Sweden","","ESNA",63.738333,15.458333,1119,1,"E","Europe/Stockholm"
713,"Hedlanda","Hede","Sweden","","ESNC",62.408889,13.747222,1460,1,"E","Europe/Stockholm"
714,"Sveg","Sveg","Sweden","EVG","ESND",62.047811,14.42295,1178,1,"E","Europe/Stockholm"
715,"Gallivare","Gallivare","Sweden","GEV","ESNG",67.132408,20.814636,1027,1,"E","Europe/Stockholm"
716,"Hudiksvall","Hudiksvall","Sweden","HUV","ESNH",61.768092,17.080719,95,1,"E","Europe/Stockholm"
717,"Jokkmokk","Jokkmokk","Sweden","","ESNJ",66.496236,20.147181,904,1,"E","Europe/Stockholm"
718,"Kramfors Solleftea","Kramfors","Sweden","KRF","ESNK",63.048597,17.768856,34,1,"E","Europe/Stockholm"
719,"Lycksele","Lycksele","Sweden","LYC","ESNL",64.548322,18.716219,705,1,"E","Europe/Stockholm"
720,"Optand","Optand","Sweden","","ESNM",63.128611,14.802778,1236,1,"E","Europe/Stockholm"
721,"Sundsvall Harnosand","Sundsvall","Sweden","SDL","ESNN",62.528125,17.443928,16,1,"E","Europe/Stockholm"
722,"Ornskoldsvik","Ornskoldsvik","Sweden","OER","ESNO",63.408339,18.990039,354,1,"E","Europe/Stockholm"
723,"Pitea","Pitea","Sweden","","ESNP",65.398333,21.260833,43,1,"E","Europe/Stockholm"
724,"Kiruna","Kiruna","Sweden","KRN","ESNQ",67.821986,20.336764,1508,1,"E","Europe/Stockholm"
725,"Orsa","Orsa","Sweden","","ESNR",61.190033,14.712567,683,1,"E","Europe/Stockholm"
726,"Skelleftea","Skelleftea","Sweden","SFT","ESNS",64.624772,21.076892,157,1,"E","Europe/Stockholm"
727,"Sattna","Sattna","Sweden","","ESNT",62.481369,17.002917,886,1,"E","Europe/Stockholm"
728,"Umea","Umea","Sweden","UME","ESNU",63.791828,20.282758,24,1,"E","Europe/Stockholm"
729,"Vilhelmina","Vilhelmina","Sweden","VHM","ESNV",64.579083,16.833575,1140,1,"E","Europe/Stockholm"
730,"Arvidsjaur","Arvidsjaur","Sweden","AJR","ESNX",65.590278,19.281944,1245,1,"E","Europe/Stockholm"
731,"Orebro","Orebro","Sweden","ORB","ESOE",59.223733,15.037956,188,1,"E","Europe/Stockholm"
733,"Vasteras","Vasteras","Sweden","VST","ESOW",59.589444,16.633611,21,1,"E","Europe/Stockholm"
734,"Kallax","Lulea","Sweden","LLA","ESPA",65.543758,22.121989,65,1,"E","Europe/Stockholm"
735,"Vidsel","Vidsel","Sweden","","ESPE",65.875325,20.149917,597,1,"E","Europe/Stockholm"
736,"Arboga","Arboga","Sweden","","ESQO",59.386585,15.924055,33,1,"E","Europe/Stockholm"
737,"Arlanda","Stockholm","Sweden","ARN","ESSA",59.651944,17.918611,137,1,"E","Europe/Stockholm"
738,"Bromma","Stockholm","Sweden","BMA","ESSB",59.354372,17.94165,47,1,"E","Europe/Stockholm"
